datetime,parameter,value,hour
2025-12-24 14:00:00,pm10,12,14
2025-12-24 14:00:00,pm25,"3,1",14
2025-12-24 15:00:00,pm10,31,15
2025-12-24 15:00:00,pm25,"5,9",15
2025-12-24 16:00:00,pm10,52,16
2025-12-24 16:00:00,pm25,"8,1",16
2025-12-24 17:00:00,pm10,51,17
2025-12-24 17:00:00,pm25,"10,1",17
2025-12-24 18:00:00,pm10,59,18
2025-12-24 18:00:00,pm25,"12,9",18
2025-12-24 19:00:00,pm10,55,19
2025-12-24 19:00:00,pm25,"13,2",19
2025-12-24 20:00:00,pm10,53,20
2025-12-24 20:00:00,pm25,"13,6",20
2025-12-24 21:00:00,pm10,36,21
2025-12-24 21:00:00,pm25,"9,7",21
2025-12-24 22:00:00,pm10,32,22
2025-12-24 22:00:00,pm25,"9,5",22
2025-12-24 23:00:00,pm10,26,23
2025-12-24 23:00:00,pm25,"7,1",23
2026-01-01 00:00:00,pm10,21,0
2026-01-01 00:00:00,pm25,"4,3",0
2026-01-01 01:00:00,pm10,19,1
2026-01-01 01:00:00,pm25,"5,2",1
2026-01-01 02:00:00,pm10,25,2
2026-01-01 02:00:00,pm25,"9,7",2
2026-01-01 03:00:00,pm10,37,3
2026-01-01 03:00:00,pm25,"16,8",3
2026-01-01 04:00:00,pm10,62,4
2026-01-01 04:00:00,pm25,"34,5",4
2026-01-01 05:00:00,pm10,71,5
2026-01-01 05:00:00,pm25,"39,9",5
2026-01-01 06:00:00,pm10,62,6
2026-01-01 06:00:00,pm25,"37,3",6
2026-01-01 07:00:00,pm10,56,7
2026-01-01 07:00:00,pm25,"32,5",7
